 13:00:02 up  5:11,  1 user,  load average: 0.97, 0.56, 0.46
 13:01:01 up  5:12,  1 user,  load average: 0.42, 0.47, 0.44
 13:02:02 up  5:13,  1 user,  load average: 0.37, 0.45, 0.43
 13:03:01 up  5:14,  1 user,  load average: 0.36, 0.43, 0.43
 13:04:01 up  5:15,  1 user,  load average: 0.32, 0.42, 0.42
 13:05:01 up  5:16,  1 user,  load average: 0.82, 0.54, 0.47
 13:06:01 up  5:17,  1 user,  load average: 0.97, 0.61, 0.49
 13:07:01 up  5:18,  1 user,  load average: 0.66, 0.59, 0.49
 13:08:02 up  5:19,  1 user,  load average: 0.45, 0.54, 0.48
 13:09:01 up  5:20,  1 user,  load average: 0.42, 0.53, 0.48
 13:10:01 up  5:21,  1 user,  load average: 0.19, 0.45, 0.45
 13:11:01 up  5:22,  1 user,  load average: 0.24, 0.42, 0.44
 13:12:02 up  5:23,  1 user,  load average: 0.15, 0.37, 0.42
 13:13:01 up  5:24,  1 user,  load average: 0.38, 0.42, 0.44
 13:14:01 up  5:25,  1 user,  load average: 0.52, 0.45, 0.45
 13:15:01 up  5:26,  1 user,  load average: 0.28, 0.39, 0.43
 13:16:01 up  5:27,  1 user,  load average: 0.68, 0.49, 0.46
 13:17:01 up  5:28,  1 user,  load average: 0.79, 0.54, 0.48
 13:18:01 up  5:29,  1 user,  load average: 0.32, 0.45, 0.45
 13:19:01 up  5:30,  1 user,  load average: 0.23, 0.41, 0.44
 13:20:01 up  5:31,  1 user,  load average: 0.13, 0.35, 0.41
 13:21:01 up  5:32,  1 user,  load average: 0.16, 0.31, 0.40
 13:22:01 up  5:33,  1 user,  load average: 0.09, 0.27, 0.37
 13:23:01 up  5:34,  1 user,  load average: 0.13, 0.26, 0.36
 13:24:01 up  5:35,  1 user,  load average: 0.05, 0.21, 0.34
 13:25:01 up  5:36,  1 user,  load average: 0.05, 0.18, 0.32
 13:26:01 up  5:37,  1 user,  load average: 0.33, 0.24, 0.33
 13:27:01 up  5:38,  1 user,  load average: 0.45, 0.30, 0.35
 13:28:01 up  5:39,  1 user,  load average: 0.27, 0.27, 0.34
 13:29:01 up  5:40,  1 user,  load average: 0.23, 0.27, 0.33
 13:30:01 up  5:41,  1 user,  load average: 0.23, 0.26, 0.33
 13:31:01 up  5:42,  1 user,  load average: 0.17, 0.24, 0.31
 13:32:01 up  5:43,  1 user,  load average: 0.13, 0.22, 0.30
 13:33:01 up  5:44,  1 user,  load average: 0.12, 0.21, 0.29
 13:34:02 up  5:45,  1 user,  load average: 0.11, 0.20, 0.28
 13:35:01 up  5:46,  1 user,  load average: 0.18, 0.20, 0.27
 13:40:01 up  5:51,  1 user,  load average: 0.75, 0.46, 0.35
 13:41:01 up  5:52,  1 user,  load average: 0.52, 0.44, 0.35
 13:42:01 up  5:53,  1 user,  load average: 0.40, 0.44, 0.36
 13:43:01 up  5:54,  1 user,  load average: 0.28, 0.40, 0.35
 13:44:01 up  5:55,  1 user,  load average: 0.27, 0.37, 0.34
 13:45:02 up  5:56,  1 user,  load average: 0.13, 0.32, 0.33
 13:46:01 up  5:57,  1 user,  load average: 0.08, 0.27, 0.31
 13:47:01 up  5:58,  1 user,  load average: 0.06, 0.23, 0.29
 13:48:01 up  5:59,  1 user,  load average: 0.12, 0.22, 0.28
 13:49:01 up  6:00,  1 user,  load average: 0.04, 0.18, 0.26
 13:50:01 up  6:01,  1 user,  load average: 0.09, 0.16, 0.25
 13:51:02 up  6:02,  1 user,  load average: 0.49, 0.25, 0.27
 13:52:02 up  6:03,  1 user,  load average: 0.27, 0.23, 0.27
 13:53:03 up  6:04,  1 user,  load average: 1.71, 0.62, 0.40
 13:54:01 up  6:05,  1 user,  load average: 0.74, 0.53, 0.38
 13:55:01 up  6:06,  1 user,  load average: 0.27, 0.43, 0.35
 13:56:01 up  6:07,  1 user,  load average: 0.42, 0.43, 0.35
 13:57:01 up  6:08,  1 user,  load average: 1.07, 0.61, 0.42
 13:58:01 up  6:09,  1 user,  load average: 1.28, 0.78, 0.49
 13:59:01 up  6:10,  1 user,  load average: 1.15, 0.85, 0.54
 14:00:02 up  6:11,  1 user,  load average: 1.12, 0.90, 0.57
 14:01:07 up  6:12,  1 user,  load average: 2.19, 1.23, 0.71
 14:02:01 up  6:13,  1 user,  load average: 1.67, 1.28, 0.76
 14:03:04 up  6:14,  1 user,  load average: 2.31, 1.50, 0.87
 14:04:02 up  6:15,  1 user,  load average: 1.08, 1.30, 0.84
 14:05:01 up  6:16,  1 user,  load average: 0.43, 1.07, 0.79
 14:06:01 up  6:17,  1 user,  load average: 0.19, 0.89, 0.74
 14:07:01 up  6:18,  1 user,  load average: 0.07, 0.73, 0.69
 14:08:02 up  6:19,  1 user,  load average: 0.23, 0.64, 0.66
 14:09:01 up  6:20,  1 user,  load average: 0.38, 0.61, 0.65
 14:10:01 up  6:21,  1 user,  load average: 0.35, 0.56, 0.63
 14:11:01 up  6:22,  1 user,  load average: 0.55, 0.58, 0.64
 14:12:01 up  6:23,  1 user,  load average: 0.46, 0.56, 0.63
 14:13:01 up  6:24,  1 user,  load average: 0.44, 0.52, 0.61
 14:14:01 up  6:25,  1 user,  load average: 0.49, 0.53, 0.61
 14:15:01 up  6:26,  1 user,  load average: 0.60, 0.56, 0.61
 14:16:02 up  6:27,  1 user,  load average: 0.25, 0.47, 0.58
 14:17:01 up  6:28,  1 user,  load average: 0.19, 0.41, 0.55
 14:18:01 up  6:29,  1 user,  load average: 0.07, 0.33, 0.51
 14:19:01 up  6:30,  1 user,  load average: 0.02, 0.27, 0.48
 14:20:01 up  6:31,  1 user,  load average: 0.04, 0.23, 0.45
 14:21:01 up  6:32,  1 user,  load average: 0.06, 0.20, 0.42
 14:22:01 up  6:33,  1 user,  load average: 0.11, 0.19, 0.41
 14:23:01 up  6:34,  1 user,  load average: 0.04, 0.16, 0.38
 14:24:01 up  6:35,  1 user,  load average: 0.10, 0.15, 0.36
 14:25:01 up  6:36,  1 user,  load average: 0.07, 0.14, 0.34
 14:26:01 up  6:37,  1 user,  load average: 0.02, 0.11, 0.32
 14:27:01 up  6:38,  1 user,  load average: 0.01, 0.09, 0.29
 14:28:01 up  6:39,  1 user,  load average: 0.00, 0.07, 0.27
 14:29:01 up  6:40,  1 user,  load average: 0.11, 0.09, 0.27
 14:30:01 up  6:41,  1 user,  load average: 0.17, 0.11, 0.26
 14:31:01 up  6:42,  1 user,  load average: 0.20, 0.14, 0.26
 14:32:01 up  6:43,  1 user,  load average: 0.15, 0.12, 0.25
 14:33:01 up  6:44,  1 user,  load average: 0.05, 0.10, 0.23
 14:34:01 up  6:45,  1 user,  load average: 0.07, 0.09, 0.22
 14:35:01 up  6:46,  1 user,  load average: 0.10, 0.09, 0.21
 14:36:01 up  6:47,  1 user,  load average: 0.32, 0.16, 0.23
 14:37:01 up  6:48,  1 user,  load average: 0.39, 0.21, 0.24
 14:38:01 up  6:49,  1 user,  load average: 0.14, 0.17, 0.22
 14:39:01 up  6:50,  1 user,  load average: 0.11, 0.15, 0.21
 14:40:01 up  6:51,  1 user,  load average: 0.11, 0.15, 0.20
 14:41:01 up  6:52,  1 user,  load average: 0.16, 0.15, 0.20
 14:42:02 up  6:53,  1 user,  load average: 0.06, 0.12, 0.18
 14:43:01 up  6:54,  1 user,  load average: 0.05, 0.11, 0.17
 14:44:01 up  6:55,  1 user,  load average: 0.11, 0.12, 0.17
 14:45:01 up  6:56,  1 user,  load average: 0.16, 0.13, 0.17
 14:46:01 up  6:57,  1 user,  load average: 0.06, 0.10, 0.16
 14:47:01 up  6:58,  1 user,  load average: 0.29, 0.17, 0.18
 14:48:01 up  6:59,  1 user,  load average: 0.57, 0.29, 0.22
 14:49:02 up  7:00,  1 user,  load average: 0.21, 0.23, 0.20
 14:50:01 up  7:01,  1 user,  load average: 0.07, 0.19, 0.19
 14:51:01 up  7:02,  1 user,  load average: 0.02, 0.15, 0.17
 14:52:01 up  7:03,  1 user,  load average: 0.16, 0.15, 0.17
 14:53:02 up  7:04,  1 user,  load average: 0.24, 0.18, 0.18
 14:54:01 up  7:05,  1 user,  load average: 0.20, 0.19, 0.18
 14:55:01 up  7:06,  1 user,  load average: 0.12, 0.17, 0.18
 14:56:01 up  7:07,  1 user,  load average: 0.04, 0.14, 0.16
 14:57:01 up  7:08,  1 user,  load average: 0.21, 0.16, 0.17
 14:58:01 up  7:09,  1 user,  load average: 0.37, 0.22, 0.19
 14:59:01 up  7:10,  1 user,  load average: 0.16, 0.19, 0.18
 15:00:01 up  7:11,  1 user,  load average: 0.14, 0.18, 0.18
 15:01:01 up  7:12,  1 user,  load average: 0.05, 0.15, 0.16
 15:02:01 up  7:13,  1 user,  load average: 0.02, 0.12, 0.15
 15:03:01 up  7:14,  1 user,  load average: 2.11, 0.54, 0.29
 15:04:01 up  7:15,  1 user,  load average: 0.94, 0.50, 0.29
 15:05:01 up  7:16,  1 user,  load average: 0.34, 0.40, 0.27
 15:06:01 up  7:17,  1 user,  load average: 0.12, 0.33, 0.25
 15:07:01 up  7:18,  1 user,  load average: 0.04, 0.27, 0.23
 15:08:01 up  7:19,  1 user,  load average: 0.01, 0.22, 0.21
 15:09:01 up  7:20,  1 user,  load average: 0.00, 0.17, 0.20
 15:10:01 up  7:21,  1 user,  load average: 0.07, 0.17, 0.19
 15:11:01 up  7:22,  1 user,  load average: 0.02, 0.14, 0.18
 15:12:01 up  7:23,  1 user,  load average: 0.01, 0.11, 0.16
 15:13:02 up  7:24,  1 user,  load average: 0.00, 0.08, 0.15
 15:14:01 up  7:25,  1 user,  load average: 0.00, 0.07, 0.14
 15:15:01 up  7:26,  1 user,  load average: 0.00, 0.05, 0.13
 15:16:01 up  7:27,  1 user,  load average: 0.00, 0.04, 0.12
 15:17:01 up  7:28,  1 user,  load average: 0.00, 0.03, 0.11
 15:18:01 up  7:29,  1 user,  load average: 0.00, 0.02, 0.09
 15:19:01 up  7:30,  1 user,  load average: 0.00, 0.02, 0.09
 08:04:02 up 1 min,  0 users,  load average: 3.18, 1.06, 0.37
 08:05:01 up 2 min,  1 user,  load average: 2.85, 1.31, 0.50
 08:06:04 up 3 min,  1 user,  load average: 2.60, 1.60, 0.66
 08:07:02 up 4 min,  1 user,  load average: 1.87, 1.55, 0.70
 08:08:03 up 5 min,  1 user,  load average: 1.02, 1.41, 0.71
 08:09:02 up 6 min,  1 user,  load average: 0.45, 1.18, 0.67
 08:10:01 up 7 min,  1 user,  load average: 0.16, 0.96, 0.62
 08:11:50 up 9 min,  1 user,  load average: 13.66, 4.76, 1.98
 08:12:21 up 9 min,  1 user,  load average: 16.59, 6.34, 2.60
 08:13:02 up 10 min,  1 user,  load average: 10.97, 6.26, 2.73
 08:14:02 up 11 min,  1 user,  load average: 4.57, 5.29, 2.62
 08:15:01 up 12 min,  1 user,  load average: 1.74, 4.35, 2.47
 08:16:01 up 13 min,  1 user,  load average: 0.74, 3.59, 2.32
 08:17:02 up 14 min,  1 user,  load average: 0.50, 3.03, 2.21
